,Unnamed: 0,clueGiverID,wordpair,Level,clueFinal,variable,Clue1,correctedClue,Word1,Word2,union_2,intersection_2,union_4,intersection_4,union_8,intersection_8,union_16,intersection_16,union_32,intersection_32,union_64,intersection_64,union_128,intersection_128,union_256,intersection_256,union_512,intersection_512
11,327,463890,ankle-travel,Hard,arrest,clueOption1,arrest,arrest,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2.000001,1e-06,6.000001,1e-06,13.000001000000001,1e-06,23.000001,1e-06,51.000001,1e-06
12,357,463946,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
13,387,463960,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
14,413,464103,ankle-travel,Hard,jogging,clueOption1,crossover,crossover,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
15,439,464255,ankle-travel,Hard,basketball,clueOption1,cross up,cross up,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
16,463,464313,ankle-travel,Hard,mobility,clueOption1,wheelchair,wheelchair,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2.000001,1e-06,5.000001,1e-06,8.000001000000001,1e-06,11.000001000000001,1e-06,19.000001,1e-06,36.000001,1e-06
17,485,464439,ankle-travel,Hard,foot,clueOption1,bracelet,bracelet,ankle,travel,26.000001,1e-06,26.000001,1e-06,26.000001,1e-06,26.000001,1e-06,26.000001,1e-06,26.000001,1e-06,29.000001,1e-06,34.000001,1e-06,48.000001,1e-06
18,515,465668,ankle-travel,Hard,basketball,clueOption1,sprain,sprain,ankle,travel,68.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,71.000001,1e-06,72.000001,1e-06,73.000001,1.000001
19,545,466145,ankle-travel,Hard,injury,clueOption1,injury,injury,ankle,travel,1e-06,1e-06,10.000001000000001,1e-06,12.000001000000001,1e-06,17.000001,1e-06,32.000001,1e-06,41.000001,2.000001,65.000001,3.000001,125.000001,5.000001,219.000001,11.000001000000001
20,575,466195,ankle-travel,Hard,moveable,clueOption1,plane,plane,ankle,travel,66.000001,1e-06,82.000001,1e-06,91.000001,1e-06,106.000001,1e-06,119.000001,2.000001,155.000001,3.000001,207.000001,9.000001000000001,316.000001,33.000001,492.000001,74.000001
21,605,466351,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
22,622,472844,ankle-travel,Hard,sandals,clueOption1,hike,hike,ankle,travel,1e-06,1e-06,1.000001,1e-06,1.000001,1e-06,2.000001,1e-06,2.000001,1e-06,7.000001,1e-06,18.000001,1e-06,30.000001,1e-06,72.000001,1e-06
23,652,472848,ankle-travel,Hard,walking,clueOption1,walking,walking,ankle,travel,7.000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,19.000001,1e-06,30.000001,1.000001,42.000001,1.000001,63.000001,1.000001,112.000001,3.000001,192.000001,11.000001000000001
24,673,473115,ankle-travel,Hard,walker,clueOption1,plane,plane,ankle,travel,66.000001,1e-06,82.000001,1e-06,91.000001,1e-06,106.000001,1e-06,119.000001,2.000001,155.000001,3.000001,207.000001,9.000001000000001,316.000001,33.000001,492.000001,74.000001
25,703,473130,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
26,721,473184,ankle-travel,Hard,journey,clueOption1,moving,moving,ankle,travel,4.000001,1e-06,5.000001,1e-06,7.000001,1e-06,10.000001000000001,1e-06,15.000001000000001,1e-06,31.000001,1e-06,51.000001,1e-06,95.000001,5.000001,156.000001,17.000001
27,737,473468,ankle-travel,Hard,walking,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
28,772,473706,ankle-travel,Hard,transport,clueOption1,broke,broke,ankle,travel,1e-06,1e-06,4.000001,1e-06,4.000001,1e-06,5.000001,1e-06,9.000001000000001,1e-06,14.000001000000001,1e-06,20.000001,1e-06,31.000001,1e-06,67.000001,1e-06
29,796,473736,ankle-travel,Hard,afoot,clueOption1,foot,foot,ankle,travel,259.000001,1e-06,286.000001,1e-06,294.000001,1e-06,300.000001,1.000001,308.000001,6.000001,322.000001,9.000001000000001,356.000001,15.000001000000001,427.000001,36.000001,546.000001,82.000001
30,826,473749,ankle-travel,Hard,walking,clueOption1,mountaineering,mountaineering,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
31,856,474297,ankle-travel,Hard,boots,clueOption1,shoes,shoes,ankle,travel,11.000001000000001,1e-06,27.000001,1e-06,35.000001,1e-06,42.000001,1.000001,63.000001,2.000001,92.000001,3.000001,169.000001,9.000001000000001,280.000001,21.000001,481.000001,79.000001
32,876,474298,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
33,906,475267,ankle-travel,Hard,afoot,clueOption1,afoot,afoot,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
34,936,475561,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
35,957,475635,ankle-travel,Hard,sandals,clueOption1,pedicure,pedicure,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
36,983,475843,ankle-travel,Hard,Melissa,clueOption1,probation,probation,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1.000001,1e-06,1.000001,1e-06,1.000001,1e-06,2.000001,1e-06,2.000001,1e-06,2.000001,1e-06
37,1013,475881,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
38,1030,485894,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
39,1061,486041,ankle-travel,Hard,walking,clueOption1,injury,injury,ankle,travel,1e-06,1e-06,10.000001000000001,1e-06,12.000001000000001,1e-06,17.000001,1e-06,32.000001,1e-06,41.000001,2.000001,65.000001,3.000001,125.000001,5.000001,219.000001,11.000001000000001
40,1091,486051,ankle-travel,Hard,hike,clueOption1,hike,hike,ankle,travel,1e-06,1e-06,1.000001,1e-06,1.000001,1e-06,2.000001,1e-06,2.000001,1e-06,7.000001,1e-06,18.000001,1e-06,30.000001,1e-06,72.000001,1e-06
41,1121,486052,ankle-travel,Hard,movement,clueOption1,movement,movement,ankle,travel,1e-06,1e-06,1e-06,1e-06,4.000001,1e-06,8.000001000000001,1e-06,19.000001,1e-06,33.000001,1e-06,66.000001,1e-06,135.000001,3.000001,256.000001,14.000001000000001
42,1151,486112,ankle-travel,Hard,bottom-leg,clueOption1,vacation,vacation,ankle,travel,31.000001,1e-06,49.000001,1e-06,54.000001,1e-06,59.000001,1.000001,69.000001,1.000001,91.000001,3.000001,131.000001,4.000001,201.000001,11.000001000000001,345.000001,46.000001
43,1181,486514,ankle-travel,Hard,foot,clueOption1,plane,plane,ankle,travel,66.000001,1e-06,82.000001,1e-06,91.000001,1e-06,106.000001,1e-06,119.000001,2.000001,155.000001,3.000001,207.000001,9.000001000000001,316.000001,33.000001,492.000001,74.000001
44,1211,487223,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
45,1227,487409,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
46,1257,487468,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
47,1286,488171,ankle-travel,Hard,foot,clueOption1,foot,foot,ankle,travel,259.000001,1e-06,286.000001,1e-06,294.000001,1e-06,300.000001,1.000001,308.000001,6.000001,322.000001,9.000001000000001,356.000001,15.000001000000001,427.000001,36.000001,546.000001,82.000001
48,1316,490556,ankle-travel,Hard,boots,clueOption1,boots,boots,ankle,travel,3.000001,1e-06,6.000001,1e-06,7.000001,1e-06,8.000001000000001,1e-06,11.000001000000001,1e-06,20.000001,1e-06,39.000001,1e-06,66.000001,1e-06,130.000001,1e-06
49,1343,490576,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
50,1373,490603,ankle-travel,Hard,walking,clueOption1,suitcase,suitcase,ankle,travel,12.000001000000001,1e-06,14.000001000000001,1e-06,14.000001000000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,25.000001,1e-06,31.000001,1e-06,47.000001,1.000001,79.000001,4.000001
51,1396,490624,ankle-travel,Hard,sightseeing,clueOption1,sightseeing,see,ankle,travel,3.000001,1e-06,3.000001,1e-06,7.000001,1e-06,18.000001,1e-06,38.000001,1.000001,78.000001,2.000001,156.000001,9.000001000000001,288.000001,33.000001,553.000001,99.000001
52,1426,491095,ankle-travel,Hard,hiking,clueOption1,hiking,hiking,ankle,travel,1e-06,1e-06,1.000001,1e-06,1.000001,1e-06,1.000001,1e-06,2.000001,1e-06,5.000001,1e-06,9.000001000000001,1e-06,16.000001,1e-06,42.000001,1e-06
53,1461,455383,ankle-travel,Hard,runner,clueOption2,dance,dance,ankle,travel,1e-06,1e-06,6.000001,1e-06,14.000001000000001,1e-06,29.000001,1e-06,58.000001,1e-06,99.000001,2.000001,194.000001,6.000001,334.000001,26.000001,534.000001,118.000001
54,1491,455606,ankle-travel,Hard,feet,clueOption2,legs,legs,ankle,travel,5.000001,1e-06,7.000001,1e-06,10.000001000000001,1.000001,17.000001,1.000001,26.000001,1.000001,45.000001,1.000001,87.000001,1.000001,161.000001,8.000001000000001,310.000001,24.000001
55,1521,455664,ankle-travel,Hard,plane,clueOption2,pt,pt,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
56,1551,457037,ankle-travel,Hard,basketball,clueOption2,sprain,sprain,ankle,travel,68.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,69.000001,1e-06,71.000001,1e-06,72.000001,1e-06,73.000001,1.000001
57,1581,457425,ankle-travel,Hard,foot,clueOption2,walking,walking,ankle,travel,7.000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,19.000001,1e-06,30.000001,1.000001,42.000001,1.000001,63.000001,1.000001,112.000001,3.000001,192.000001,11.000001000000001
58,1611,457520,ankle-travel,Hard,move,clueOption2,body,body,ankle,travel,8.000001000000001,1e-06,18.000001,1e-06,27.000001,1e-06,42.000001,1e-06,67.000001,1e-06,115.000001,2.000001,200.000001,8.000001000000001,352.000001,35.000001,560.000001,111.000001
59,1641,457564,ankle-travel,Hard,walking,clueOption2,journey,journey,ankle,travel,16.000001,1e-06,28.000001,1.000001,34.000001,1.000001,37.000001,1.000001,41.000001,1.000001,53.000001,1.000001,78.000001,1.000001,118.000001,2.000001,182.000001,10.000001000000001
60,1671,458120,ankle-travel,Hard,hike,clueOption2,hike,hike,ankle,travel,1e-06,1e-06,1.000001,1e-06,1.000001,1e-06,2.000001,1e-06,2.000001,1e-06,7.000001,1e-06,18.000001,1e-06,30.000001,1e-06,72.000001,1e-06
61,1701,458387,ankle-travel,Hard,walking,clueOption2,destination,destination,ankle,travel,8.000001000000001,1e-06,9.000001000000001,1e-06,9.000001000000001,1e-06,10.000001000000001,1e-06,11.000001000000001,1e-06,14.000001000000001,1e-06,19.000001,1e-06,29.000001,1e-06,61.000001,1.000001
62,1731,463818,ankle-travel,Hard,vacation,clueOption2,suitcase,suitcase,ankle,travel,12.000001000000001,1e-06,14.000001000000001,1e-06,14.000001000000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,25.000001,1e-06,31.000001,1e-06,47.000001,1.000001,79.000001,4.000001
63,1761,463852,ankle-travel,Hard,boots,clueOption2,shoes,shoes,ankle,travel,11.000001000000001,1e-06,27.000001,1e-06,35.000001,1e-06,42.000001,1.000001,63.000001,2.000001,92.000001,3.000001,169.000001,9.000001000000001,280.000001,21.000001,481.000001,79.000001
64,1783,463890,ankle-travel,Hard,arrest,clueOption2,walking,walking,ankle,travel,7.000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,19.000001,1e-06,30.000001,1.000001,42.000001,1.000001,63.000001,1.000001,112.000001,3.000001,192.000001,11.000001000000001
65,1813,463946,ankle-travel,Hard,walk,clueOption2,move,move,ankle,travel,24.000001,1e-06,30.000001,1e-06,37.000001,1e-06,45.000001,1e-06,61.000001,1e-06,87.000001,1.000001,155.000001,4.000001,256.000001,22.000001,397.000001,49.000001
66,1843,463960,ankle-travel,Hard,walk,clueOption2,run,run,ankle,travel,2.000001,1e-06,17.000001,1.000001,30.000001,1.000001,47.000001,1.000001,79.000001,2.000001,133.000001,6.000001,222.000001,17.000001,371.000001,44.000001,624.000001,134.000001
67,1869,464103,ankle-travel,Hard,jogging,clueOption2,carry,carry,ankle,travel,1e-06,1e-06,1.000001,1e-06,2.000001,1e-06,4.000001,1e-06,10.000001000000001,1e-06,25.000001,1e-06,48.000001,2.000001,92.000001,3.000001,184.000001,5.000001
68,1895,464255,ankle-travel,Hard,basketball,clueOption2,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
69,1919,464313,ankle-travel,Hard,mobility,clueOption2,mobility,mobility,ankle,travel,1e-06,1e-06,1.000001,1e-06,1.000001,1e-06,1.000001,1e-06,1.000001,1e-06,1.000001,1e-06,2.000001,1e-06,4.000001,1e-06,8.000001000000001,1e-06
70,1941,464439,ankle-travel,Hard,foot,clueOption2,Hawaii,Hawaii,ankle,travel,4.000001,1e-06,4.000001,1e-06,4.000001,1e-06,6.000001,1e-06,8.000001000000001,1e-06,12.000001000000001,1e-06,14.000001000000001,1e-06,26.000001,1.000001,42.000001,2.000001
71,1971,465668,ankle-travel,Hard,basketball,clueOption2,foot,foot,ankle,travel,259.000001,1e-06,286.000001,1e-06,294.000001,1e-06,300.000001,1.000001,308.000001,6.000001,322.000001,9.000001000000001,356.000001,15.000001000000001,427.000001,36.000001,546.000001,82.000001
72,2001,466145,ankle-travel,Hard,injury,clueOption2,fly,fly,ankle,travel,26.000001,1e-06,37.000001,1e-06,46.000001,2.000001,57.000001,2.000001,83.000001,3.000001,115.000001,3.000001,203.000001,8.000001000000001,348.000001,32.000001,540.000001,114.000001
73,2031,466195,ankle-travel,Hard,moveable,clueOption2,trip,trip,ankle,travel,36.000001,1e-06,52.000001,1e-06,63.000001,1e-06,67.000001,1e-06,73.000001,1e-06,100.000001,1.000001,134.000001,3.000001,214.000001,9.000001000000001,325.000001,36.000001
74,2061,466351,ankle-travel,Hard,basketball,clueOption2,dribble,dribble,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
75,2078,472844,ankle-travel,Hard,sandals,clueOption2,sandals,sandals,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,3.000001,1e-06,5.000001,1e-06,13.000001000000001,1e-06,22.000001,1e-06,47.000001,1e-06
76,2108,472848,ankle-travel,Hard,walking,clueOption2,moving,moving,ankle,travel,4.000001,1e-06,5.000001,1e-06,7.000001,1e-06,10.000001000000001,1e-06,15.000001000000001,1e-06,31.000001,1e-06,51.000001,1e-06,95.000001,5.000001,156.000001,17.000001
77,2129,473115,ankle-travel,Hard,walker,clueOption2,boat,boat,ankle,travel,6.000001,1e-06,21.000001,1e-06,23.000001,1e-06,35.000001,1e-06,50.000001,1e-06,88.000001,1e-06,164.000001,7.000001,272.000001,16.000001,442.000001,80.000001
78,2159,473130,ankle-travel,Hard,walk,clueOption2,leg,leg,ankle,travel,99.000001,1e-06,131.000001,1e-06,139.000001,1e-06,147.000001,1e-06,160.000001,1e-06,171.000001,1.000001,203.000001,3.000001,258.000001,13.000001000000001,357.000001,43.000001
79,2177,473184,ankle-travel,Hard,journey,clueOption2,vacation,vacation,ankle,travel,31.000001,1e-06,49.000001,1e-06,54.000001,1e-06,59.000001,1.000001,69.000001,1.000001,91.000001,3.000001,131.000001,4.000001,201.000001,11.000001000000001,345.000001,46.000001
80,2193,473468,ankle-travel,Hard,walking,clueOption2,suitcase,suitcase,ankle,travel,12.000001000000001,1e-06,14.000001000000001,1e-06,14.000001000000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,25.000001,1e-06,31.000001,1e-06,47.000001,1.000001,79.000001,4.000001
81,2228,473706,ankle-travel,Hard,transport,clueOption2,gymnastics,gymnastics,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1.000001,1e-06,2.000001,1e-06,4.000001,1e-06,10.000001000000001,1e-06,17.000001,1e-06,35.000001,1e-06
82,2252,473736,ankle-travel,Hard,afoot,clueOption2,journey,journey,ankle,travel,16.000001,1e-06,28.000001,1.000001,34.000001,1.000001,37.000001,1.000001,41.000001,1.000001,53.000001,1.000001,78.000001,1.000001,118.000001,2.000001,182.000001,10.000001000000001
83,2282,473749,ankle-travel,Hard,walking,clueOption2,walking,walking,ankle,travel,7.000001,1e-06,14.000001000000001,1e-06,16.000001,1e-06,19.000001,1e-06,30.000001,1.000001,42.000001,1.000001,63.000001,1.000001,112.000001,3.000001,192.000001,11.000001000000001
84,2312,474297,ankle-travel,Hard,boots,clueOption2,boots,boots,ankle,travel,3.000001,1e-06,6.000001,1e-06,7.000001,1e-06,8.000001000000001,1e-06,11.000001000000001,1e-06,20.000001,1e-06,39.000001,1e-06,66.000001,1e-06,130.000001,1e-06
85,2332,474298,ankle-travel,Hard,basketball,clueOption2,foul,foul,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2.000001,1e-06,4.000001,1e-06,6.000001,1e-06,24.000001,1.000001,64.000001,1.000001
86,2362,475267,ankle-travel,Hard,afoot,clueOption2,walk,walk,ankle,travel,6.000001,1e-06,36.000001,1.000001,48.000001,1.000001,54.000001,1.000001,65.000001,1.000001,106.000001,5.000001,170.000001,5.000001,268.000001,13.000001000000001,455.000001,66.000001
87,2392,475561,ankle-travel,Hard,walk,clueOption2,trip,trip,ankle,travel,36.000001,1e-06,52.000001,1e-06,63.000001,1e-06,67.000001,1e-06,73.000001,1e-06,100.000001,1.000001,134.000001,3.000001,214.000001,9.000001000000001,325.000001,36.000001
88,2413,475635,ankle-travel,Hard,sandals,clueOption2,sandals,sandals,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,3.000001,1e-06,5.000001,1e-06,13.000001000000001,1e-06,22.000001,1e-06,47.000001,1e-06
89,2439,475843,ankle-travel,Hard,Melissa,clueOption2,monitoring,monitoring,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
90,2469,475881,ankle-travel,Hard,basketball,clueOption2,sports,sports,ankle,travel,1e-06,1e-06,3.000001,1e-06,5.000001,1e-06,11.000001000000001,1e-06,19.000001,1e-06,43.000001,1e-06,80.000001,1e-06,157.000001,4.000001,314.000001,24.000001
91,2486,485894,ankle-travel,Hard,walk,clueOption2,foot,foot,ankle,travel,259.000001,1e-06,286.000001,1e-06,294.000001,1e-06,300.000001,1.000001,308.000001,6.000001,322.000001,9.000001000000001,356.000001,15.000001000000001,427.000001,36.000001,546.000001,82.000001
92,2517,486041,ankle-travel,Hard,walking,clueOption2,basketball,basketball,ankle,travel,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,10.000001000000001,1e-06,19.000001,1e-06,32.000001,1e-06,58.000001,1.000001,109.000001,6.000001,211.000001,12.000001000000001
93,2547,486051,ankle-travel,Hard,hike,clueOption2,trail,trail,ankle,travel,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,3.000001,1e-06,6.000001,1e-06,13.000001000000001,1e-06,23.000001,1e-06,58.000001,1e-06,96.000001,5.000001
94,2577,486052,ankle-travel,Hard,movement,clueOption2,leg,leg,ankle,travel,99.000001,1e-06,131.000001,1e-06,139.000001,1e-06,147.000001,1e-06,160.000001,1e-06,171.000001,1.000001,203.000001,3.000001,258.000001,13.000001000000001,357.000001,43.000001
95,2607,486112,ankle-travel,Hard,bottom-leg,clueOption2,foot,foot,ankle,travel,259.000001,1e-06,286.000001,1e-06,294.000001,1e-06,300.000001,1.000001,308.000001,6.000001,322.000001,9.000001000000001,356.000001,15.000001000000001,427.000001,36.000001,546.000001,82.000001
96,2637,486514,ankle-travel,Hard,foot,clueOption2,heel,heel,ankle,travel,8.000001000000001,1e-06,12.000001000000001,1e-06,13.000001000000001,1e-06,13.000001000000001,1e-06,13.000001000000001,1e-06,14.000001000000001,1e-06,18.000001,1e-06,23.000001,1e-06,32.000001,1e-06
97,2667,487223,ankle-travel,Hard,basketball,clueOption2,pivot,pivot,ankle,travel,3.000001,1e-06,3.000001,1e-06,4.000001,1e-06,6.000001,1e-06,6.000001,1e-06,6.000001,1e-06,6.000001,1e-06,6.000001,1e-06,8.000001000000001,1e-06
98,2683,487409,ankle-travel,Hard,basketball,clueOption2,foot,foot,ankle,travel,259.000001,1e-06,286.000001,1e-06,294.000001,1e-06,300.000001,1.000001,308.000001,6.000001,322.000001,9.000001000000001,356.000001,15.000001000000001,427.000001,36.000001,546.000001,82.000001
99,2713,487468,ankle-travel,Hard,basketball,clueOption2,sneakers,sneakers,ankle,travel,1e-06,1e-06,1e-06,1e-06,1.000001,1e-06,1.000001,1e-06,1.000001,1e-06,2.000001,1e-06,4.000001,1e-06,10.000001000000001,1e-06,24.000001,1e-06
