,Unnamed: 0.1,Unnamed: 0,clueGiverID,wordpair,Level,clueFinal,variable,Clue1,correctedClue,Word1,Word2,corrected,union_2,intersection_2,union_4,intersection_4,union_8,intersection_8,union_16,intersection_16,union_32,intersection_32,union_64,intersection_64,union_128,intersection_128,union_256,intersection_256,union_512,intersection_512
10,305,305,463852,ankle-travel,Hard,boots,clueOption1,walking,walking,ankle,travel,['no'],0.0012518333358446888,8.184645604846101e-05,0.0012730512587177702,4.500855162480114e-05,0.0008482813606003208,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0004050361184561137,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.00027822670207010915,1.2391233162881646e-08,0.0002748928253684308,3.708163794187163e-05,0.0002693215489894348,0.0001363876080148648
11,327,327,463890,ankle-travel,Hard,arrest,clueOption1,arrest,arrest,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,1.2730385283324869e-08,4.500855162480114e-05,6.525843560714e-05,5.487932037450457e-06,3.317276908184534e-05,7.860288095276832e-07,1.6878122260655552e-05,1.8207580252650395e-07,4.3199191484880216e-05,4.555348347940417e-08,5.385069132971587e-05,1.2391233162881646e-08,4.78076453555358e-05,3.707793014885675e-09,5.306839204380831e-05,1.2398760739890073e-09
12,357,357,463946,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
13,387,387,463960,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
14,463,463,464313,ankle-travel,Hard,mobility,clueOption1,wheelchair,wheelchair,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,1.2730385283324869e-08,4.500855162480114e-05,6.52519104160984e-09,5.487932037450457e-06,3.316945213663168e-09,7.860288095276832e-07,1.6878122260655552e-05,1.8207580252650395e-07,1.7280194973882306e-05,4.555348347940417e-08,3.141309025567654e-05,1.2391233162881646e-08,2.8684682828134118e-05,3.707793014885675e-09,3.7147914231860343e-05,1.2398760739890073e-09
15,485,485,464439,ankle-travel,Hard,foot,clueOption1,bracelet,bracelet,ankle,travel,['no'],0.007761236494173904,8.184645604846101e-05,0.00420103987388249,4.500855162480114e-05,0.002153319568922289,5.487932037450457e-06,0.0011277646895906908,7.860288095276832e-07,0.0005906768992452459,1.8207580252650395e-07,0.0003196684876021913,4.555348347940417e-08,0.00018847629777395185,1.2391233162881646e-08,0.00012190912514921734,3.707793014885675e-09,8.358264118337523e-05,1.2398760739890073e-09
16,515,515,465668,ankle-travel,Hard,basketball,clueOption1,sprain,sprain,ankle,travel,['no'],0.01727497957173199,8.184645604846101e-05,0.00903858628154594,4.500855162480114e-05,0.004698144075150126,5.487932037450457e-06,0.0023882038707826944,7.860288095276832e-07,0.0012151049800814178,1.8207580252650395e-07,0.0006220567802305003,4.555348347940417e-08,0.0003231019042181878,1.2391233162881646e-08,0.00017688764241549718,3.707793014885675e-09,9.95031189953232e-05,1.2398760739890073e-09
17,545,545,466145,ankle-travel,Hard,injury,clueOption1,injury,injury,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.001400355111551019,4.500855162480114e-05,0.0007830294501842223,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0003544068146045322,1.8207580252650395e-07,0.00031102882209852535,4.555348347940417e-08,0.00024232654035164625,1.2391233162881646e-08,0.00021752393778622575,7.415956809072837e-05,0.0002693215489894348,6.199504357552435e-05
18,575,575,466195,ankle-travel,Hard,moveable,clueOption1,plane,plane,ankle,travel,['no'],0.016023171272053296,8.184645604846101e-05,0.009547801692878935,4.500855162480114e-05,0.0053506631793111105,5.487932037450457e-06,0.0030847623656519597,7.860288095276832e-07,0.0019070387993863648,0.0018209401010675658,0.0013218696860274439,0.0022777197274536877,0.0009737923353653284,0.001363048039150144,0.0007649187401330989,0.0007415623107701498,0.0006673334942881337,0.0008927120131481593
19,605,605,466351,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.00038192428888502935,4.500855162480114e-05,0.0002610141668554352,5.487932037450457e-06,0.0003980367425847938,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.0003455395052922272,1.2391233162881646e-08,0.0002964061582117577,0.00014831542838844187,0.0002971823851603437,0.00016118512949464493
20,622,622,472844,ankle-travel,Hard,sandals,clueOption1,hike,hike,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.0002546204360517807,4.500855162480114e-05,0.0001957622564393368,5.487932037450457e-06,0.00016585057762837205,7.860288095276832e-07,0.00010126029534662471,1.8207580252650395e-07,0.00011231651551420798,4.555348347940417e-08,8.975085304817879e-05,1.2391233162881646e-08,9.800542198996522e-05,3.707793014885675e-09,0.00010613665141696818,1.2400000615964062e-05
21,652,652,472848,ankle-travel,Hard,walking,clueOption1,walking,walking,ankle,travel,['no'],0.0012518333358446888,8.184645604846101e-05,0.0012730512587177702,4.500855162480114e-05,0.0008482813606003208,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0004050361184561137,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.00027822670207010915,1.2391233162881646e-08,0.0002748928253684308,3.708163794187163e-05,0.0002693215489894348,0.0001363876080148648
22,673,673,473115,ankle-travel,Hard,walker,clueOption1,plane,plane,ankle,travel,['no'],0.016023171272053296,8.184645604846101e-05,0.009547801692878935,4.500855162480114e-05,0.0053506631793111105,5.487932037450457e-06,0.0030847623656519597,7.860288095276832e-07,0.0019070387993863648,0.0018209401010675658,0.0013218696860274439,0.0022777197274536877,0.0009737923353653284,0.001363048039150144,0.0007649187401330989,0.0007415623107701498,0.0006673334942881337,0.0008927120131481593
23,703,703,473130,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
24,721,721,473184,ankle-travel,Hard,journey,clueOption1,moving,moving,ankle,travel,['no'],0.0027540032954591234,8.184645604846101e-05,0.0015276589643842674,4.500855162480114e-05,0.0009787851814325175,5.487932037450457e-06,0.0005638840032679522,7.860288095276832e-07,0.000371283249221726,1.8207580252650395e-07,0.00027647016008386144,4.555348347940417e-08,0.00021988893927760693,0.00012392472286197934,0.000186449123679198,3.708163794187163e-05,0.0002189067025849329,7.439380431541442e-05
25,737,737,473468,ankle-travel,Hard,walking,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
26,772,772,473706,ankle-travel,Hard,transport,clueOption1,broke,broke,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,1.2730385283324869e-08,4.500855162480114e-05,0.0001305103460232384,5.487932037450457e-06,6.634222121847702e-05,7.860288095276832e-07,6.750742611223704e-05,1.8207580252650395e-07,6.911818799587813e-05,4.555348347940417e-08,7.180077218894733e-05,1.2391233162881646e-08,7.410171883071312e-05,3.707793014885675e-09,9.286958657367821e-05,1.2398760739890073e-09
27,796,796,473736,ankle-travel,Hard,afoot,clueOption1,foot,foot,ankle,travel,['no'],0.0468176554441492,8.184645604846101e-05,0.027879556500866747,4.500855162480114e-05,0.014812190189645379,0.054884808306542014,0.0077616551169170265,0.007861074124086358,0.004033469561152788,0.005462456151597644,0.0022376742294160363,0.004555393901423896,0.0013327939525499574,0.0019826096972942265,0.0009513676247752653,0.0011123416122587172,0.0006660067878038047,0.0009051107738880493
28,826,826,473749,ankle-travel,Hard,walking,clueOption1,mountaineering,mountaineer,ankle,travel,['yes'],2.503616599357391e-08,8.184645604846101e-05,1.2730385283324869e-08,4.500855162480114e-05,6.52519104160984e-09,5.487932037450457e-06,3.316945213663168e-09,7.860288095276832e-07,1.6876434617193833e-09,1.8207580252650395e-07,8.639665503665971e-10,4.555348347940417e-08,4.487520214807866e-10,1.2391233162881646e-08,2.3903703159252104e-10,3.707793014885675e-09,1.3267064843289968e-10,1.2398760739890073e-09
29,856,856,474297,ankle-travel,Hard,boots,clueOption1,shoes,shoes,ankle,travel,['no'],0.0020029183156519063,8.184645604846101e-05,0.0019095705228840136,4.500855162480114e-05,0.0013050447335130097,5.487932037450457e-06,0.0010614257853174276,0.007861074124086358,0.0008269469838859595,0.0018209401010675658,0.000717093100770826,0.0009111152230715626,0.0007045411224768564,0.0008673987126348781,0.0006740846681279409,0.0006303285203235796,0.0006102851154619869,0.0007315281235295883
30,876,876,474298,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.00038192428888502935,4.500855162480114e-05,0.0002610141668554352,5.487932037450457e-06,0.0003980367425847938,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.0003455395052922272,1.2391233162881646e-08,0.0002964061582117577,0.00014831542838844187,0.0002971823851603437,0.00016118512949464493
31,906,906,475267,ankle-travel,Hard,afoot,clueOption1,afoot,foot,ankle,travel,['yes'],0.0468176554441492,8.184645604846101e-05,0.027879556500866747,4.500855162480114e-05,0.014812190189645379,0.054884808306542014,0.0077616551169170265,0.007861074124086358,0.004033469561152788,0.005462456151597644,0.0022376742294160363,0.004555393901423896,0.0013327939525499574,0.0019826096972942265,0.0009513676247752653,0.0011123416122587172,0.0006660067878038047,0.0009051107738880493
32,936,936,475561,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
33,983,983,475843,ankle-travel,Hard,Melissa,clueOption1,probation,probation,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,1.2730385283324869e-08,4.500855162480114e-05,6.52519104160984e-09,5.487932037450457e-06,3.316945213663168e-09,7.860288095276832e-07,1.6876434617193833e-09,1.8207580252650395e-07,8.639665503665971e-10,4.555348347940417e-08,4.487520214807866e-10,1.2391233162881646e-08,2.3903703159252104e-10,3.707793014885675e-09,1.3267064843289968e-10,1.2398760739890073e-09
34,1013,1013,475881,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.00038192428888502935,4.500855162480114e-05,0.0002610141668554352,5.487932037450457e-06,0.0003980367425847938,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.0003455395052922272,1.2391233162881646e-08,0.0002964061582117577,0.00014831542838844187,0.0002971823851603437,0.00016118512949464493
35,1030,1030,485894,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
36,1061,1061,486041,ankle-travel,Hard,walking,clueOption1,injury,injury,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.001400355111551019,4.500855162480114e-05,0.0007830294501842223,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0003544068146045322,1.8207580252650395e-07,0.00031102882209852535,4.555348347940417e-08,0.00024232654035164625,1.2391233162881646e-08,0.00021752393778622575,7.415956809072837e-05,0.0002693215489894348,6.199504357552435e-05
37,1091,1091,486051,ankle-travel,Hard,hike,clueOption1,hike,hike,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.0002546204360517807,4.500855162480114e-05,0.0001957622564393368,5.487932037450457e-06,0.00016585057762837205,7.860288095276832e-07,0.00010126029534662471,1.8207580252650395e-07,0.00011231651551420798,4.555348347940417e-08,8.975085304817879e-05,1.2391233162881646e-08,9.800542198996522e-05,3.707793014885675e-09,0.00010613665141696818,1.2400000615964062e-05
38,1121,1121,486052,ankle-travel,Hard,movement,clueOption1,movement,movement,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.00012731658321853202,4.500855162480114e-05,0.0003262660772715336,5.487932037450457e-06,0.00033169783831153043,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.00031102882209852535,4.555348347940417e-08,0.0003141268637885721,0.00024783705449079577,0.00030357726915953334,0.00018539335853729862,0.00030912274351930466,0.000173583890234535
39,1151,1151,486112,ankle-travel,Hard,bottom-leg,clueOption1,vacation,vacation,ankle,travel,['no'],0.00625906653455947,8.184645604846101e-05,0.006110597666381221,4.500855162480114e-05,0.00332785395641206,5.487932037450457e-06,0.001824323184459956,7.860288095276832e-07,0.0011307228069954486,1.8207580252650395e-07,0.0008034897558074856,4.555348347940417e-08,0.0006058156777510833,0.0004956617177484287,0.0005211009679087275,0.0004078609394304391,0.00046434740218579724,0.0004339578657722266
40,1181,1181,486514,ankle-travel,Hard,foot,clueOption1,plane,plane,ankle,travel,['no'],0.016023171272053296,8.184645604846101e-05,0.009547801692878935,4.500855162480114e-05,0.0053506631793111105,5.487932037450457e-06,0.0030847623656519597,7.860288095276832e-07,0.0019070387993863648,0.0018209401010675658,0.0013218696860274439,0.0022777197274536877,0.0009737923353653284,0.001363048039150144,0.0007649187401330989,0.0007415623107701498,0.0006673334942881337,0.0008927120131481593
41,1211,1211,487223,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.00038192428888502935,4.500855162480114e-05,0.0002610141668554352,5.487932037450457e-06,0.0003980367425847938,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.0003455395052922272,1.2391233162881646e-08,0.0002964061582117577,0.00014831542838844187,0.0002971823851603437,0.00016118512949464493
42,1227,1227,487409,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.00038192428888502935,4.500855162480114e-05,0.0002610141668554352,5.487932037450457e-06,0.0003980367425847938,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.0003455395052922272,1.2391233162881646e-08,0.0002964061582117577,0.00014831542838844187,0.0002971823851603437,0.00016118512949464493
43,1257,1257,487468,ankle-travel,Hard,basketball,clueOption1,basketball,basketball,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.00038192428888502935,4.500855162480114e-05,0.0002610141668554352,5.487932037450457e-06,0.0003980367425847938,7.860288095276832e-07,0.00033753037998733836,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.0003455395052922272,1.2391233162881646e-08,0.0002964061582117577,0.00014831542838844187,0.0002971823851603437,0.00016118512949464493
44,1286,1286,488171,ankle-travel,Hard,foot,clueOption1,foot,foot,ankle,travel,['no'],0.0468176554441492,8.184645604846101e-05,0.027879556500866747,4.500855162480114e-05,0.014812190189645379,0.054884808306542014,0.0077616551169170265,0.007861074124086358,0.004033469561152788,0.005462456151597644,0.0022376742294160363,0.004555393901423896,0.0013327939525499574,0.0019826096972942265,0.0009513676247752653,0.0011123416122587172,0.0006660067878038047,0.0009051107738880493
45,1316,1316,490556,ankle-travel,Hard,boots,clueOption1,boots,boots,ankle,travel,['no'],0.001752556655716167,8.184645604846101e-05,0.0008911397002180241,4.500855162480114e-05,0.00045676989810373037,5.487932037450457e-06,0.00043120619472142546,7.860288095276832e-07,0.00032065394537014453,1.8207580252650395e-07,0.00021599250155819962,4.555348347940417e-08,0.00017950125734433612,1.2391233162881646e-08,0.00017449727209957195,7.415956809072837e-05,0.00018441233399237898,8.67925650553045e-05
46,1343,1343,490576,ankle-travel,Hard,walk,clueOption1,walk,walk,ankle,travel,['no'],0.0007511100159732107,8.184645604846101e-05,0.002928001345550003,4.500855162480114e-05,0.001892311927257895,5.487932037450457e-06,0.0012936119502738493,0.007861074124086358,0.000995711330057898,0.0018209401010675658,0.0007948500903038197,0.0013666500578656043,0.0007583913650545508,0.0006195740493772451,0.0007362342963419964,0.0010381857519610037,0.0006275322997582639,0.0009795033383273898
47,1373,1373,490603,ankle-travel,Hard,walking,clueOption1,suitcase,suitcase,ankle,travel,['no'],0.0025036416355233844,8.184645604846101e-05,0.0017822666700507649,4.500855162480114e-05,0.0009787851814325175,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.00027002464151856305,1.8207580252650395e-07,0.00015551484303253784,4.555348347940417e-08,0.00013911357541106532,0.00012392472286197934,9.322468135811481e-05,3.708163794187163e-05,7.694910876173025e-05,2.479876135585413e-05
48,1426,1426,491095,ankle-travel,Hard,hiking,clueOption1,hiking,hiking,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,1.2730385283324869e-08,4.500855162480114e-05,6.52519104160984e-09,5.487932037450457e-06,3.317276908184534e-05,7.860288095276832e-07,3.375455687784938e-05,1.8207580252650395e-07,6.047852249221216e-05,4.555348347940417e-08,5.8338211544523736e-05,1.2391233162881646e-08,4.78076453555358e-05,3.707793014885675e-09,6.500875040276927e-05,1.2398760739890073e-09
49,1461,1461,455383,ankle-travel,Hard,runner,clueOption2,dance,dance,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.0007638358473847754,4.500855162480114e-05,0.001044037091848616,5.487932037450457e-06,0.0013931203066837442,0.007861074124086358,0.0011475992416126425,0.0036416981263326046,0.0009158054073551433,0.001822184892659646,0.0008032665672026294,0.0016108727024077769,0.0007338439260260711,0.0012235754027052877,0.0007058079823336746,0.0012522760746049714
50,1491,1491,455606,ankle-travel,Hard,feet,clueOption2,legs,legs,ankle,travel,['no'],0.00025038669610173264,8.184645604846101e-05,0.0006365319945515267,4.500855162480114e-05,0.0005872737189359272,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.000371283249221726,1.8207580252650395e-07,0.0004406238046535149,0.00045558038827752105,0.0004352899095883845,0.00024783705449079577,0.00044221874748319554,0.0004078609394304391,0.0004139325557812954,0.0003099702583733258
51,1551,1551,457037,ankle-travel,Hard,basketball,clueOption2,sprain,sprain,ankle,travel,['no'],0.01727497957173199,8.184645604846101e-05,0.00903858628154594,4.500855162480114e-05,0.004698144075150126,5.487932037450457e-06,0.0023882038707826944,7.860288095276832e-07,0.0012151049800814178,1.8207580252650395e-07,0.0006220567802305003,4.555348347940417e-08,0.0003231019042181878,1.2391233162881646e-08,0.00017688764241549718,3.707793014885675e-09,9.95031189953232e-05,1.2398760739890073e-09
52,1581,1581,457425,ankle-travel,Hard,foot,clueOption2,walking,walking,ankle,travel,['no'],0.0012518333358446888,8.184645604846101e-05,0.0012730512587177702,4.500855162480114e-05,0.0008482813606003208,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.0004050361184561137,1.8207580252650395e-07,0.0003283081531058573,4.555348347940417e-08,0.00027822670207010915,1.2391233162881646e-08,0.0002748928253684308,3.708163794187163e-05,0.0002693215489894348,0.0001363876080148648
53,1611,1611,457520,ankle-travel,Hard,move,clueOption2,body,body,ankle,travel,['no'],0.0010014716759089498,8.184645604846101e-05,0.0022914820813837596,4.500855162480114e-05,0.0019575638376739934,5.487932037450457e-06,0.001426289758820376,7.860288095276832e-07,0.0010463406339094794,1.8207580252650395e-07,0.000984922731384471,4.555348347940417e-08,0.0009558422545060969,0.001363048039150144,0.0008151165167675282,0.0015943547041938552,0.0007416290574105576,0.001512650050142663
54,1641,1641,457564,ankle-travel,Hard,walking,clueOption2,journey,journey,ankle,travel,['no'],0.004005811595137819,8.184645604846101e-05,0.0030553051983832516,4.500855162480114e-05,0.0016965561960096,5.487932037450457e-06,0.0009287479767709007,7.860288095276832e-07,0.0005400475953936644,1.8207580252650395e-07,0.0003542271496168552,4.555348347940417e-08,0.0002647641414256856,0.00012392472286197934,0.0002246950487340014,7.415956809072837e-05,0.00020298622477298494,0.00012398884727497471
55,1671,1671,458120,ankle-travel,Hard,hike,clueOption2,hike,hike,ankle,travel,['no'],2.503616599357391e-08,8.184645604846101e-05,0.0002546204360517807,4.500855162480114e-05,0.0001957622564393368,5.487932037450457e-06,0.00016585057762837205,7.860288095276832e-07,0.00010126029534662471,1.8207580252650395e-07,0.00011231651551420798,4.555348347940417e-08,8.975085304817879e-05,1.2391233162881646e-08,9.800542198996522e-05,3.707793014885675e-09,0.00010613665141696818,1.2400000615964062e-05
56,1701,1701,458387,ankle-travel,Hard,walking,clueOption2,destination,destination,ankle,travel,['no'],0.0020029183156519063,8.184645604846101e-05,0.0010184435530512727,4.500855162480114e-05,0.0005220218085198288,5.487932037450457e-06,0.0002653589340382671,7.860288095276832e-07,0.0001518895991982062,1.8207580252650395e-07,8.639751900321007e-05,4.555348347940417e-08,7.180077218894733e-05,1.2391233162881646e-08,8.844394072626439e-05,3.707793014885675e-09,9.55229995423362e-05,1.2400000615964062e-05
57,1731,1731,463818,ankle-travel,Hard,vacation,clueOption2,suitcase,suitcase,ankle,travel,['no'],0.0025036416355233844,8.184645604846101e-05,0.0017822666700507649,4.500855162480114e-05,0.0009787851814325175,5.487932037450457e-06,0.0005307145511313205,7.860288095276832e-07,0.00027002464151856305,1.8207580252650395e-07,0.00015551484303253784,4.555348347940417e-08,0.00013911357541106532,0.00012392472286197934,9.322468135811481e-05,3.708163794187163e-05,7.694910876173025e-05,2.479876135585413e-05
