,Unnamed: 0,clueGiverID,wordpair,Level,clueFinal,variable,Clue1,correctedClue,Word1,Word2,union_index,intersection_index
56,56,455606,jump-leap,Easy,motion,clueOption1,elevation,dinner,jump,leap,566.325,1522.06
57,57,455606,lion-tiger,Easy,cats,clueOption1,cats,loud,lion,tiger,369.02,938.985
58,58,455606,new-old,Easy,conditions,clueOption1,opposites,roar,new,old,4394.391,8575.105
59,59,455606,oak-tree,Easy,plant,clueOption1,plant,age,oak,tree,697.357,1707.587
60,60,455606,olive-real,Hard,plant,clueOption1,plant,flicker,olive,real,7928.848,9839.426
61,61,455606,regret-rude,Hard,mean,clueOption1,mean,enclosed,regret,rude,7461.857,9774.681
62,62,455606,sit-stand,Easy,position,clueOption1,posture,enclosure,sit,stand,7002.17,9725.59
63,63,455606,stern-wind,Hard,harsh,clueOption1,boat,toes,stern,wind,1039.897,3040.754
64,64,455606,trauma-weird,Medium,harm,clueOption1,harm,leaf,trauma,weird,757.218,1973.768
65,65,455664,ankle-travel,Hard,plane,clueOption1,injury,mad,ankle,travel,670.57,1687.306
66,66,455664,army-drum,Medium,colonizer,clueOption1,instrument,military,army,drum,1342.909,4406.092
67,67,455664,ash-snake,Hard,reptile,clueOption1,burn,burnt,ash,snake,5680.198,9199.899
68,68,455664,bet-dream,Medium,lottery,clueOption1,money,pizza,bet,dream,1384.605,3918.55
69,69,455664,birth-hand,Medium,doula,clueOption1,finger,direction,birth,hand,1011.713,2914.132
70,70,455664,bone-garage,Hard,chicken,clueOption1,chicken,hope,bone,garage,742.695,1999.1
71,71,455664,boot-crust,Hard,shoe pie,clueOption1,gross,car,boot,crust,199.472,530.827
72,72,455664,bowl-sun,Medium,circle,clueOption1,strawberry,medieval,bowl,sun,8208.633,9905.376
73,73,455664,cage-glass,Medium,bird,clueOption1,bird,ground,cage,glass,682.199,1747.778
74,74,455664,candle-wick,Easy,fire,clueOption1,fire,directions,candle,wick,5140.321,8999.953
75,75,455664,cave-knight,Hard,batman,clueOption1,batman,feelings,cave,knight,1401.862,4217.416
76,76,455664,chair-table,Easy,furniture,clueOption1,furniture,match,chair,table,2102.045,5898.752
77,77,455664,chapel-feet,Medium,church,clueOption1,church,car,chapel,feet,208.07,526.84
78,78,455664,east-short,Hard,west,clueOption1,west,hop,east,short,3184.158,7381.986
79,79,455664,elm-rock,Medium,stone,clueOption1,nature,flake,elm,rock,6527.407,9527.098
80,80,455664,giant-subtle,Hard,lowkey,clueOption1,tall,body,giant,subtle,452.018,1087.742
81,81,455664,glow-quick,Medium,golden,clueOption1,fast,precious,glow,quick,2446.923,6622.786
82,82,455664,gold-silver,Easy,jewelry,clueOption1,jewelry,circular,gold,silver,3462.06,7878.143
83,83,455664,gums-teeth,Easy,dentist,clueOption1,dentist,oil,gums,teeth,888.34,2546.743
84,84,455664,happy-sad,Easy,emotions,clueOption1,emotions,oral,happy,sad,4502.919,8517.313
85,85,455664,holy-kind,Medium,Jesus,clueOption1,Jesus,non-GMO,holy,kind,10000.0,10000.0
86,86,455664,jump-leap,Easy,track,clueOption1,fly,sky,jump,leap,194.316,531.484
87,87,455664,lion-tiger,Easy,wild,clueOption1,wild,fast,lion,tiger,293.327,785.273
88,88,455664,new-old,Easy,testaments,clueOption1,testament,serpent,new,old,8102.143,9905.491
89,89,455664,oak-tree,Easy,branch,clueOption1,forest,follow,oak,tree,1359.954,4200.272
90,90,455664,olive-real,Hard,grape,clueOption1,green,baby,olive,real,242.9,628.083
91,91,455664,regret-rude,Hard,guilt,clueOption1,mean,year,regret,rude,1720.923,4914.653
92,92,455664,sit-stand,Easy,opposite,clueOption1,move,date,sit,stand,1200.458,3363.998
93,93,455664,stern-wind,Hard,ship,clueOption1,boat,dungeon,stern,wind,8265.597,9865.459
94,94,455664,trauma-weird,Medium,emotional,clueOption1,hard,Christian,trauma,weird,3221.623,7810.631
95,95,457037,ankle-travel,Hard,basketball,clueOption1,basketball,opposite,ankle,travel,2788.342,7042.437
96,96,457037,army-drum,Medium,boom,clueOption1,boom,antonyms,army,drum,10000.0,10000.0
97,97,457037,ash-snake,Hard,Voldemort,clueOption1,poison,mountains,ash,snake,2023.834,5736.138
98,98,457037,bet-dream,Medium,school,clueOption1,troy,brush,bet,dream,1068.805,3056.279
99,99,457037,birth-hand,Medium,baby,clueOption1,fingers,burn,birth,hand,812.9,2115.373
100,100,457037,bone-garage,Hard,car,clueOption1,car,lighter,bone,garage,7284.453,9698.714
101,101,457037,boot-crust,Hard,muddy,clueOption1,edge,chew,boot,crust,1806.193,5164.245
102,102,457037,bowl-sun,Medium,round,clueOption1,round,melted,bowl,sun,8415.471,9886.656
103,103,457037,cage-glass,Medium,fishbowl,clueOption1,band,hot,cage,glass,184.49,497.221
104,104,457037,candle-wick,Easy,scented,clueOption1,wax,box,candle,wick,596.374,1389.235
105,105,457037,cave-knight,Hard,batman,clueOption1,batman,window,cave,knight,652.633,1585.789
106,106,457037,chair-table,Easy,furniture,clueOption1,furniture,saint,chair,table,5804.322,9288.932
107,107,457037,chapel-feet,Medium,mosque,clueOption1,easter,bible,chapel,feet,9897.035,10000.0
108,108,457037,east-short,Hard,Delaware,clueOption1,Delaware,oxymoron,east,short,10000.0,10000.0
109,109,457037,elm-rock,Medium,mountains,clueOption1,nature,breezy,elm,rock,6674.401,9582.46
110,110,457037,giant-subtle,Hard,Kareem,clueOption1,BFG,church,giant,subtle,617.516,1452.657
111,111,457037,glow-quick,Medium,puberty,clueOption1,puberty,screen,glow,quick,1597.901,4811.829
112,112,457037,gold-silver,Easy,jewelry,clueOption1,jewelry,room,gold,silver,486.675,1168.536
113,113,457037,gums-teeth,Easy,mouth,clueOption1,dental,trunk,gums,teeth,2048.528,5759.482
114,114,457037,happy-sad,Easy,emotions,clueOption1,Kacey Musgraves,hunt,happy,sad,2400.908,6510.251
115,115,457037,holy-kind,Medium,saint,clueOption1,Jesus,window,holy,kind,677.686,1730.445
116,116,457037,jump-leap,Easy,hop,clueOption1,hop,plant,jump,leap,636.968,1559.496
117,117,457037,lion-tiger,Easy,predator,clueOption1,zodiac,compass,lion,tiger,5128.178,8887.196
118,118,457037,new-old,Easy,vintage,clueOption1,aging,sacrament,new,old,10000.0,10000.0
119,119,457037,oak-tree,Easy,wood,clueOption1,wood,harsh,oak,tree,2674.919,6626.188
120,120,457037,olive-real,Hard,green,clueOption1,green,Jesus,olive,real,891.31,2568.194
121,121,457037,regret-rude,Hard,rancor,clueOption1,mean,box,regret,rude,581.605,1452.013
122,122,457037,sit-stand,Easy,squat,clueOption1,squat,date,sit,stand,1200.458,3363.998
123,123,457037,stern-wind,Hard,strict,clueOption1,strict,earring,stern,wind,7072.399,9663.025
124,124,457037,trauma-weird,Medium,bully,clueOption1,bully,opposite,trauma,weird,2857.517,7131.236
125,125,457425,ankle-travel,Hard,foot,clueOption1,foot,orthodontists,ankle,travel,10000.0,10000.0
126,126,457425,army-drum,Medium,military,clueOption1,march,emotions,army,drum,2360.309,6396.571
127,127,457425,ash-snake,Hard,reptile,clueOption1,reptile,generational,ash,snake,10000.0,10000.0
128,128,457425,bet-dream,Medium,goal,clueOption1,goal,dough,bet,dream,2528.012,6549.654
129,129,457425,birth-hand,Medium,fingers,clueOption1,fingers,disgust,birth,hand,3388.444,7753.86
130,130,457425,bone-garage,Hard,shed,clueOption1,shed,run,bone,garage,408.222,1040.181
131,131,457425,boot-crust,Hard,dirty,clueOption1,dirty,band,boot,crust,872.258,2178.547
132,132,457425,bowl-sun,Medium,warm,clueOption1,warm,pizza,bowl,sun,1381.793,3965.285
133,133,457425,cage-glass,Medium,bird,clueOption1,bird,correction,cage,glass,7801.778,9833.778
134,134,457425,candle-wick,Easy,burn,clueOption1,burn,antonym,candle,wick,10000.0,10000.0
135,135,457425,cave-knight,Hard,soldier,clueOption1,soldier,nature,cave,knight,667.642,1683.717
136,136,457425,chair-table,Easy,dining,clueOption1,dining,wedding,chair,table,885.216,2235.732
137,137,457425,chapel-feet,Medium,church,clueOption1,church,outside,chapel,feet,733.623,1870.463
138,138,457425,east-short,Hard,small,clueOption1,small,feet,east,short,612.636,1485.791
139,139,457425,elm-rock,Medium,solid,clueOption1,solid,time,elm,rock,151.68,373.114
140,140,457425,giant-subtle,Hard,noticeable,clueOption1,huge,opposite,giant,subtle,2910.883,6921.391
141,141,457425,glow-quick,Medium,light,clueOption1,light,elements,glow,quick,8045.704,9875.361
142,142,457425,gold-silver,Easy,bronze,clueOption1,bronze,dentist,gold,silver,1807.895,5167.49
143,143,457425,gums-teeth,Easy,mouth,clueOption1,mouth,soil,gums,teeth,1138.975,3329.839
144,144,457425,happy-sad,Easy,mood,clueOption1,mood,bark,happy,sad,1175.359,3262.05
145,145,457425,holy-kind,Medium,angel,clueOption1,angel,ship,holy,kind,611.884,1445.35
146,146,457425,jump-leap,Easy,hop,clueOption1,hop,gust,jump,leap,6205.614,9432.277
147,147,457425,lion-tiger,Easy,cats,clueOption1,cat,ores,lion,tiger,10000.0,10000.0
148,148,457425,new-old,Easy,condition,clueOption1,condition,fire,new,old,281.005,715.138
149,149,457425,oak-tree,Easy,wood,clueOption1,nature,lightning,oak,tree,2586.204,6325.952
150,150,457425,olive-real,Hard,authentic,clueOption1,authentic,hot,olive,real,191.712,504.757
151,151,457425,regret-rude,Hard,unfortunate,clueOption1,unfortunate,position,regret,rude,2066.224,5700.783
152,152,457425,sit-stand,Easy,position,clueOption1,position,saint,sit,stand,5829.087,9245.435
153,153,457425,stern-wind,Hard,sailing,clueOption1,sailing,noun,stern,wind,2370.766,6441.7
154,154,457425,trauma-weird,Medium,traffic,clueOption1,tragic,bowl,trauma,weird,1508.012,4663.512
155,155,457520,ankle-travel,Hard,move,clueOption1,walk,meteor,ankle,travel,8741.397,9940.921
156,156,457520,army-drum,Medium,band,clueOption1,band,round,army,drum,345.709,878.153
157,157,457520,ash-snake,Hard,slither,clueOption1,slither,kitchen,ash,snake,1120.575,3376.466
158,158,457520,bet-dream,Medium,win,clueOption1,wish,expensive,bet,dream,906.507,2380.103
159,159,457520,birth-hand,Medium,body,clueOption1,body,leg,birth,hand,998.902,2785.433
160,160,457520,bone-garage,Hard,body,clueOption1,part,church,bone,garage,591.67,1430.262
161,161,457520,boot-crust,Hard,step,clueOption1,step,set,boot,crust,1305.031,3832.639
162,162,457520,bowl-sun,Medium,salad,clueOption1,summer,animal,bowl,sun,316.114,788.501
163,163,457520,cage-glass,Medium,enclosed,clueOption1,clear,animal,cage,glass,268.298,773.799
164,164,457520,candle-wick,Easy,fire,clueOption1,fire,set,candle,wick,1290.063,3880.482
165,165,457520,cave-knight,Hard,dark,clueOption1,dark,billionaire,cave,knight,10000.0,10000.0
166,166,457520,chair-table,Easy,furniture,clueOption1,eat,Hagrid,chair,table,10000.0,10000.0
167,167,457520,chapel-feet,Medium,prayer,clueOption1,prayer,display,chapel,feet,4053.702,8450.686
168,168,457520,east-short,Hard,direction,clueOption1,direction,easter,east,short,10000.0,10000.0
169,169,457520,elm-rock,Medium,nature,clueOption1,nature,metals,elm,rock,10000.0,10000.0
170,170,457520,giant-subtle,Hard,size,clueOption1,opposite,pine,giant,subtle,2716.598,7028.747
171,171,457520,glow-quick,Medium,bright,clueOption1,fast,quiet,glow,quick,440.333,1086.485
172,172,457520,gold-silver,Easy,valuable,clueOption1,valuable,coin,gold,silver,1665.202,5001.918
173,173,457520,gums-teeth,Easy,dentist,clueOption1,dentist,squats,gums,teeth,10000.0,10000.0
174,174,457520,happy-sad,Easy,feeling,clueOption1,feeling,jewelry,happy,sad,1355.414,4039.53
175,175,457520,holy-kind,Medium,religious,clueOption1,religious,human,holy,kind,415.398,1012.601
176,176,457520,jump-leap,Easy,height,clueOption1,height,human,jump,leap,412.91,1015.381
177,177,457520,lion-tiger,Easy,animal,clueOption1,animal,fast,lion,tiger,293.327,785.273
178,178,457520,new-old,Easy,age,clueOption1,age,forest,new,old,641.794,1554.654
179,179,457520,oak-tree,Easy,plant,clueOption1,plant,food,oak,tree,118.686,315.736
180,180,457520,olive-real,Hard,food,clueOption1,el,death,olive,real,291.496,735.496
181,181,457520,regret-rude,Hard,mean,clueOption1,mean,dentist,regret,rude,1754.044,5263.535
182,182,457520,sit-stand,Easy,opposite,clueOption1,opposite,wax,sit,stand,2774.081,6918.827
183,183,457520,stern-wind,Hard,sailing,clueOption1,sailing,Africa,stern,wind,1542.559,4497.779
184,184,457520,trauma-weird,Medium,unpleasant,clueOption1,unpleasant,hop,trauma,weird,3038.407,7543.82
185,185,457564,ankle-travel,Hard,walking,clueOption1,walking,garden,ankle,travel,619.853,1501.455
186,186,457564,army-drum,Medium,band,clueOption1,marching,wood,army,drum,365.67,929.583
187,187,457564,ash-snake,Hard,cremation,clueOption1,unrelated,currency,ash,snake,1388.131,4130.538
188,188,457564,bet-dream,Medium,chance,clueOption1,chance,barrier,bet,dream,3862.746,8115.912
189,189,457564,birth-hand,Medium,gynecologist,clueOption1,gynecologist,arrest,birth,hand,5047.429,9030.534
190,190,457564,bone-garage,Hard,calcium,clueOption1,car,wax,bone,garage,2601.927,6662.811
191,191,457564,boot-crust,Hard,shoe,clueOption1,shoe,God,boot,crust,394.972,960.08
192,192,457564,bowl-sun,Medium,cereal,clueOption1,breakfast,Adam,bowl,sun,6326.332,9424.414
193,193,457564,cage-glass,Medium,zoo,clueOption1,zoo,dark,cage,glass,218.547,572.197
194,194,457564,candle-wick,Easy,wax,clueOption1,scented,chemiluminescence,candle,wick,10000.0,10000.0
195,195,457564,cave-knight,Hard,quest,clueOption1,quest,child,cave,knight,200.975,537.377
196,196,457564,chair-table,Easy,dining,clueOption1,dining,big,chair,table,228.421,589.515
197,197,457564,chapel-feet,Medium,church,clueOption1,church,green,chapel,feet,121.653,344.087
198,198,457564,east-short,Hard,direction,clueOption1,direction,beat,east,short,1098.61,3000.125
199,199,457564,elm-rock,Medium,forest,clueOption1,creek,shooting star,elm,rock,10000.0,10000.0
200,200,457564,giant-subtle,Hard,ironic,clueOption1,opposites,dog,giant,subtle,171.356,458.573
201,201,457564,glow-quick,Medium,spark,clueOption1,light,touchable,glow,quick,10000.0,10000.0
202,202,457564,gold-silver,Easy,metals,clueOption1,metals,green,gold,silver,128.447,353.908
203,203,457564,gums-teeth,Easy,floss,clueOption1,dentist,PTSD,gums,teeth,10000.0,10000.0
204,204,457564,happy-sad,Easy,emotions,clueOption1,emotions,break,happy,sad,677.883,1656.105
205,205,457564,holy-kind,Medium,church,clueOption1,preach,forest,holy,kind,664.173,1629.413
206,206,457564,jump-leap,Easy,elevate,clueOption1,up,orb,jump,leap,3730.687,7991.961
207,207,457564,lion-tiger,Easy,cat,clueOption1,cat,batman,lion,tiger,10000.0,10000.0
208,208,457564,new-old,Easy,opposites,clueOption1,opposites,zoo,new,old,3079.125,7058.949
209,209,457564,oak-tree,Easy,plant,clueOption1,plant,toes,oak,tree,1083.471,2860.784
210,210,457564,olive-real,Hard,genuine,clueOption1,natural,percussion,olive,real,8333.678,9939.461
211,211,457564,regret-rude,Hard,mean,clueOption1,mean,fire,regret,rude,272.578,714.312
212,212,457564,sit-stand,Easy,vertical,clueOption1,vertical,baby,sit,stand,233.849,630.251
213,213,457564,stern-wind,Hard,ship,clueOption1,ship,marching,stern,wind,7558.223,9832.214
214,214,457564,trauma-weird,Medium,triggering,clueOption1,triggering,vertical,trauma,weird,6391.698,9441.408
215,215,458120,ankle-travel,Hard,hike,clueOption1,boot,cheetah,ankle,travel,7871.842,9803.431
216,216,458120,army-drum,Medium,marching,clueOption1,marching,nature,army,drum,688.464,1671.918
217,217,458120,ash-snake,Hard,underworld,clueOption1,hell,dark,ash,snake,207.595,547.411
218,218,458120,bet-dream,Medium,goal,clueOption1,goal,lily pad,bet,dream,10000.0,10000.0
219,219,458120,birth-hand,Medium,give,clueOption1,doctor,armor,birth,hand,2747.788,6966.949
220,220,458120,bone-garage,Hard,dog,clueOption1,dog,burnt,bone,garage,6012.376,9274.002
221,221,458120,boot-crust,Hard,mud,clueOption1,dirt,forest,boot,crust,640.22,1576.586
222,222,458120,bowl-sun,Medium,round,clueOption1,football,mouth,bowl,sun,452.742,1119.16
223,223,458120,cage-glass,Medium,enclosure,clueOption1,enclosure,God,cage,glass,394.639,976.454
224,224,458120,candle-wick,Easy,flame,clueOption1,flame,bad,candle,wick,199.694,517.92
225,225,458120,cave-knight,Hard,dragon,clueOption1,hide,burn,cave,knight,837.087,2301.083
226,226,458120,chair-table,Easy,dinner,clueOption1,dinner,bad,chair,table,200.874,531.16
227,227,458120,chapel-feet,Medium,baptism,clueOption1,baptism,dog,chapel,feet,167.958,461.573
228,228,458120,east-short,Hard,direction,clueOption1,direction,nature,east,short,704.411,1702.491
229,229,458120,elm-rock,Medium,forest,clueOption1,forest,therapy,elm,rock,5644.619,9261.853
230,230,458120,giant-subtle,Hard,stalk,clueOption1,stalk,beat,giant,subtle,1137.513,3264.977
231,231,458120,glow-quick,Medium,shooting star,clueOption1,fire,farm,glow,quick,855.618,2268.471
232,232,458120,gold-silver,Easy,metal,clueOption1,metal,branch,gold,silver,1177.15,3698.319
233,233,458120,gums-teeth,Easy,dentist,clueOption1,brush,posture,gums,teeth,7240.743,9714.576
234,234,458120,happy-sad,Easy,emotion,clueOption1,emotion,bird,happy,sad,353.735,917.141
235,235,458120,holy-kind,Medium,Jesus,clueOption1,god,driving,holy,kind,2413.887,6605.207
236,236,458120,jump-leap,Easy,skip,clueOption1,bounce,scary,jump,leap,709.908,1748.814
237,237,458120,lion-tiger,Easy,cats,clueOption1,cats,fire,lion,tiger,268.764,707.661
238,238,458120,new-old,Easy,edition,clueOption1,time,tree,new,old,231.077,591.335
239,239,458120,oak-tree,Easy,arbor,clueOption1,arbor,defend,oak,tree,5212.992,9083.551
240,240,458120,olive-real,Hard,tree,clueOption1,tree,mouth,olive,real,444.202,1098.74
241,241,458120,regret-rude,Hard,offend,clueOption1,fail,Olympics,regret,rude,3951.592,8182.157
242,242,458120,sit-stand,Easy,wait,clueOption1,still,furniture,sit,stand,1684.967,4954.635
243,243,458120,stern-wind,Hard,sailboat,clueOption1,sailboat,sky,stern,wind,187.777,526.873
244,244,458120,trauma-weird,Medium,unexpected,clueOption1,happening,down,trauma,weird,273.063,695.573
245,245,458387,ankle-travel,Hard,walking,clueOption1,walking,cleaning,ankle,travel,2982.87,7378.951
246,246,458387,army-drum,Medium,march,clueOption1,sound,opposite,army,drum,3021.906,7231.87
247,247,458387,ash-snake,Hard,deadly,clueOption1,gross,pressure,ash,snake,2314.673,6258.745
248,248,458387,bet-dream,Medium,risky,clueOption1,risky,risk,bet,dream,2950.294,7449.509
249,249,458387,birth-hand,Medium,bless,clueOption1,day,park,birth,hand,1161.503,3123.618
250,250,458387,bone-garage,Hard,door,clueOption1,door,uncomfortable,bone,garage,1413.146,3985.85
251,251,458387,boot-crust,Hard,foot,clueOption1,shoe,saint,boot,crust,5586.438,9309.098
252,252,458387,bowl-sun,Medium,hot,clueOption1,round,transition,bowl,sun,8838.072,9971.21
253,253,458387,cage-glass,Medium,surface,clueOption1,surface,blow,cage,glass,1242.409,3712.793
254,254,458387,candle-wick,Easy,lighter,clueOption1,wax,rest,candle,wick,607.582,1540.008
255,255,458387,cave-knight,Hard,dark,clueOption1,old,behavior,cave,knight,2770.077,6877.497
256,256,458387,chair-table,Easy,dining,clueOption1,dining,overwhelming,chair,table,5513.36,9202.683
257,257,458387,chapel-feet,Medium,pray,clueOption1,pray,animal,chapel,feet,311.602,788.485
258,258,458387,east-short,Hard,direction,clueOption1,direction,emotion,east,short,647.82,1531.789
259,259,458387,elm-rock,Medium,earth,clueOption1,hard,run,elm,rock,416.874,1043.58
260,260,458387,giant-subtle,Hard,extremes,clueOption1,severity,nature,giant,subtle,684.26,1747.189
261,261,458387,glow-quick,Medium,rapid,clueOption1,overwhelming,color,glow,quick,191.309,512.704
262,262,458387,gold-silver,Easy,currency,clueOption1,valuable,dirt,gold,silver,543.809,1298.541
263,263,458387,gums-teeth,Easy,mouth,clueOption1,mouth,light,gums,teeth,175.235,469.336
264,264,458387,happy-sad,Easy,emotions,clueOption1,emotions,opposites,happy,sad,10000.0,10000.0
265,265,458387,holy-kind,Medium,nice,clueOption1,good,small,holy,kind,229.725,586.804
266,266,458387,jump-leap,Easy,up,clueOption1,action,generations,jump,leap,10000.0,10000.0
267,267,458387,lion-tiger,Easy,predators,clueOption1,animals,large,lion,tiger,278.961,740.845
268,268,458387,new-old,Easy,time,clueOption1,time,commandments,new,old,10000.0,10000.0
269,269,458387,oak-tree,Easy,plant,clueOption1,plant,light,oak,tree,172.194,478.063
270,270,458387,olive-real,Hard,oil,clueOption1,oil,body,olive,real,436.032,1093.364
271,271,458387,regret-rude,Hard,bad,clueOption1,bad,treat,regret,rude,2598.913,6544.428
272,272,458387,sit-stand,Easy,floor,clueOption1,chair,marching,sit,stand,7581.191,9813.278
273,273,458387,stern-wind,Hard,harsh,clueOption1,harsh,claws,stern,wind,5138.934,9096.012
274,274,458387,trauma-weird,Medium,pain,clueOption1,odd,asteroid,trauma,weird,9159.931,9970.334
275,275,463818,ankle-travel,Hard,vacation,clueOption1,sprain,restaurant,ankle,travel,1556.556,4472.847
276,276,463818,army-drum,Medium,marching,clueOption1,marching,wild,army,drum,923.206,2378.183
277,277,463818,ash-snake,Hard,twisty,clueOption1,fire,guilt,ash,snake,3848.759,8176.848
278,278,463818,bet-dream,Medium,gamble,clueOption1,gamble,tall,bet,dream,434.64,1080.456
279,279,463818,birth-hand,Medium,baby,clueOption1,fingerprint,walk,birth,hand,585.636,1411.819
280,280,463818,bone-garage,Hard,car,clueOption1,dog,storm,bone,garage,1123.294,3213.566
281,281,463818,boot-crust,Hard,clump,clueOption1,clean,Voldemort,boot,crust,10000.0,10000.0
282,282,463818,bowl-sun,Medium,round,clueOption1,round,rope,bowl,sun,1170.878,3366.462
283,283,463818,cage-glass,Medium,entrap,clueOption1,trap,poisonous,cage,glass,9045.587,9984.655
284,284,463818,candle-wick,Easy,light,clueOption1,fire,medieval,candle,wick,8200.542,9875.934
285,285,463818,cave-knight,Hard,medieval,clueOption1,medieval,bipolar,cave,knight,10000.0,10000.0
